ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets
1778,Zakiullah Zaki,28,0,0,0,7573,22,10.52,32.62718619,6.75,137,110,124.16,100,244
1779,Ahmed Shah,35,98,0,0,8665,10,2,52.70718619,12,207,131,164.66,137,192
1780,Anisur Rehman,48,44,0,0,10868,11,1,35.20718619,8.5,317,222,120.86,213,432
1781,Walter J Edwards,69,81,0,0,9541,14,2,17.87718619,0,392,234,94.86,215,431
1782,Hussain Talat,23,117,0,0,8090,14,2,,8,211,111,141.16,90,175
1783,Irfan Sajid,36,81,0,0,10725,5,2,65.52718619,4.6,317,136,179.66,82,348
1784,Nadeem Khan,49,87,0,0,7536,3,2,31.79718619,5.06,332,124,117.76,120,346
1785,Ajith P Weerakkody,48,119,0,0,8352,4,2,42.61718619,6.83,294,139,137.66,103,353
1786,Siddarth Kaul,28,43,0,0,6704,3,0.5,101.1571862,6.63,269,61,244.86,44,335
1787,Graeme J McCarter,26,127,0,0,8441,1,10.52,50.97718619,4.75,154,132,152.86,109,216
1788,Mohsin Mulla,37,49,0,0,8166,11,1,69.34718619,6.4,260,132,186.66,87,126
1789,Kalpesh A  Patel,33,125,0,0,8911,4,1,44.25718619,6.8,183,96,140.66,59,295
1790,Yodhin Punja,19,125,0,0,6309,6,1,44.43718619,8.17,193,99,140.86,86,263
1791,Stuart J Roberts,53,33,0,0,9659,2,10.52,47.88718619,6.71,57,104,147.06,78,279
1792,Kelaniyage J Silva,45,22,0,0,7477,1,10.52,32.79718619,6.88,83,79,119.66,56,117
1793,Jonathan P Taylor,54,121,0,0,5847,8,1,31.70718619,6.67,164,106,117.66,62,227
1794,Leslie B Taylor,65,137,0,0,6652,6,10.52,57.34718619,3.36,258,88,164.66,64,234
1795,Franklyn S Ahangama,59,114,0,0,6967,0,10.52,126.1571862,7.67,257,103,290.76,90,229
1796,Mohammad Aman Ali,29,123,0,0,6056,2,0,40.43718619,11,110,70,133.66,78,344
1797,Anwar Hossain Monir,37,64,0,0,,8,10.52,42.52718619,5.63,288,159,137.16,150,360
1798,Ariful Haque,26,99,0,0,8198,0,10.52,37.15718619,5.67,150,124,127.66,106,325
1799,Ashfaq Ahmed,45,67,0,0,6142,0,10.52,55.70718619,4.94,259,90,161.66,87,317
1800,Donovan L Blake,57,18,0,0,6152,2,0,46.70718619,7,74,94,144.96,69,348
1801,Tertius Bosch,14,28,0,0,5846,0,10.52,46.43718619,7.76,256,112,139.66,100,111
1802,Samuel A Britton,31,92,0,0,7085,0,10.52,41.70718619,6.17,20,118,130.66,106,357
1803,James Cameron-Dow,28,115,0,0,5899,0,10.52,38.25718619,9,124,91,,70,165
1804,Kyle Christie,25,140,0,0,7517,3,0,43.06718619,18,130,75,,52,342
1805,David J Colley,71,39,0,0,5725,0,10.52,40.97718619,6.55,166,115,134.66,94,322
1806,Alan N Connolly,79,3,0,0,6553,0,10.52,47.34718619,5.81,195,80,140.66,41,47
1807,Nikhil Dutta,24,66,0,0,7389,0,10.52,39.61718619,5.17,206,57,131.96,59,54
1808,Fazle Mahmud,31,75,0,0,5262,9,0,40.43718619,5.33,172,73,133.66,38,204
1809,Asitha Madusanka Fernando,21,45,0,0,7562,0,10.52,40.97718619,11,205,79,134.66,74,218
1810,Frederick R M D Goonatillake,67,52,0,0,6293,0,10.52,38.25718619,3.78,50,202,129.66,204,320
1811,Ishtiaq Muhammad,26,115,0,0,6530,0,10.52,42.06718619,8,171,133,136.66,100,355
1812,Paskuwal Handi Tharindu Kaushal,25,111,0,0,7287,1,0,36.06718619,4.17,176,164,125.66,151,248
1813,John C Kent,39,144,0,0,5920,0,10.52,36.25718619,7.13,72,67,125.86,82,316
1814,Vivian J Kingma,24,80,0,0,8025,0,10.52,28.70718619,5.5,257,90,111.96,61,99
1815,Alexander G R Loudon,38,46,0,0,5652,0,0,32.43718619,6,229,75,118.86,48,107
1816,Angus J Mackay,51,85,0,0,8057,0,10.52,52.43718619,6.23,132,68,155.66,44,106
1817,Mohammed Siraj,24,132,0,0,4881,0,10.52,40.60718619,7.6,223,61,127.16,50,167
1818,Naeem Ahmed,66,111,0,0,4269,8,10.52,,4.3,202,90,127.66,54,70
1819,Najaf Shah,34,44,0,0,6326,2,0,68.30718619,5.9,199,66,173.66,27,113
1820,Abhishek M Nayar,35,50,0,0,6029,7,10.52,54.50718619,5.67,210,77,150.66,44,156
1821,Craig Overton,24,140,0,0,4488,0,10.52,34.30718619,7.86,327,90,116.86,101,115
1822,Michael B Owens,49,17,0,0,4392,3,0,53.30718619,4.63,301,92,148.66,71,233
1823,Mangesh Panchel,45,129,0,0,5430,0,10.52,35.60718619,2,324,201,118.96,155,416
1824,Nelon T Pascal,31,87,0,0,5730,1,0,46.10718619,7.25,215,90,136.66,83,195
1825,Rashid G M Patel,54,148,0,0,,0,10.52,42.60718619,5.8,183,130,130.76,117,391
1826,Kahawalage G Perera,54,95,0,0,3831,0,10.52,,7.5,192,78,126.16,63,99
1827,Emmanuel B Ringera,25,115,0,0,5199,0,10.52,38.30718619,2.8,292,139,123.66,,268
1828,Rizwan Ahmed,40,99,0,0,5655,0,10.52,65.90718619,6.5,338,127,169.66,101,348
1829,Saeed-Al-Saffar,50,89,0,0,6123,0,10.52,40.70718619,8.33,236,176,127.66,157,186
1830,Salman Farooq,37,103,0,0,7090,0,10.52,28.70718619,3.83,178,42,107.66,53,332
1831,Samiullah Khan,36,23,0,0,7587,0,10.52,40.60718619,5.75,87,91,127.16,52,190
1832,Karn V Sharma,31,120,0,0,6216,0,10.52,26.90718619,6.58,70,83,104.66,51,204
1833,Mclaren Smith,27,112,0,0,4782,0,10.52,46.60718619,7,155,75,137.16,53,60
1834,Ewen P Thompson,39,47,0,0,4729,0,10.52,51.60718619,10.5,225,70,145.76,77,85
1835,Isuru Udana Tillakaratna,31,142,0,0,6106,0,10.52,31.70718619,7,60,51,112.66,33,233
1836,Wahidul Gani,60,75,0,0,8747,0,10.52,46.10718619,5.33,87,65,136.66,71,330
1837,Michael Watkinson,57,124,0,0,5173,0,10.52,52.90718619,4.78,183,109,147.86,54,78
1838,Zakir Hasan,46,69,0,0,5660,1,0,50.30718619,5.83,254,130,143.66,79,144
1839,Kumar C Sangakkara,41,132,93,87,6639,18049,41.99,44.00718619,10,283,81,132.96,79,214
1840,Adam C Gilchrist,47,80,55,149,4274,9922,35.89,28.10718619,10.68,48,52,106.66,33,272
1841,Herschelle Herman Gibbs,45,89,37,128,4509,9721,36.13,51.50718619,7.25,165,42,145.66,63,235
1842,Eoin J G Morgan,32,33,43,182,4684,7592,39.16,41.90718619,12.68,205,106,129.66,52,329
1843,Brendon B McCullum,37,69,32,200,6521,6312,30.42,22.60718619,8.36,190,108,97.16,67,277
1844,Mushfiqur Rahim,30,44,32,73,6297,6930,34.43,37.00718619,7.01,165,89,121.16,70,160
1845,Shikhar Dhawan,33,52,27,63,4477,5540,44.64,45.70718619,7.01,100,59,128.66,42,125
1846,Mark V Boucher,42,116,26,83,4387,5528,28.57,46.37718619,3.25,209,59,129.66,65,292
1847,Alec J Stewart,55,29,28,26,4450,6841,31.6,67.14718619,1.96,112,47,160.76,43,79
1848,Quinton de Kock,26,127,18,62,4837,4482,44.26,40.26718619,5.36,221,69,120.16,49,296
1849,Romesh S Kaluwitharana,49,108,23,17,2879,4776,22.22,48.37718619,10.68,112,68,130.66,38,317
1850,Nicholas V Knight,49,121,25,21,5732,5084,40.41,57.92718619,8.964,218,62,146.86,44,275
1851,Lokuge Dinesh Chandimal,29,111,22,39,4505,4855,32.42,70.37718619,9.56,190,108,165.66,60,231
1852,Hendrik H Dippenaar,41,28,26,16,3990,5047,42.23,30.37718619,17.38,150,34,105.66,42,193
1853,Joseph C Buttler,28,52,18,106,4040,2862,40.81,28.37718619,16.78,187,46,102.66,52,297
1854,Adam C Parore,48,38,14,36,3771,4867,25.69,61.48718619,,169,40,152.06,28,171
1855,Moin Khan,47,27,12,61,5201,4017,23,61.03718619,,241,72,151.66,46,153
1856,Kamran Akmal,37,65,10,37,5821,3855,26.1,34.37718619,,154,138,111.66,128,270
1857,Bradley James Haddin,41,142,16,71,3869,3706,31.54,56.26718619,9.756,36,88,144.16,34,164
1858,Umar Akmal,28,85,20,50,5480,3542,34.59,37.70718619,19.785,234,49,116.66,58,133
1859,David A Miller,29,49,12,81,5229,2782,38.26,30.48718619,0.3654,219,70,105.76,66,213
1860,Mohammad Kaif,38,109,17,9,4574,3823,32.01,51.37718619,4.65,210,96,136.96,91,333
1861,Jason Jonathan Roy,28,28,12,44,4938,2522,38.57,,,230,112,,90,325
1862,Edmund Christopher Joyce,40,63,15,25,4077,3630,38,68.48718619,,93,68,,56,79
1863,Niall John O'Brien,37,124,18,30,6386,3638,28.05,69.70718619,,163,94,164.66,94,332
1864,Mohammad Shahzad,31,131,13,53,4138,2879,34.47,38.37718619,,97,73,117.66,47,184
1865,Shaun Edward Marsh,35,37,13,33,5133,3097,42.27,57.70718619,,223,65,146.66,40,249
1866,Babar Azam,24,9,10,23,5192,2908,51.29,53.14718619,,146,51,139.76,30,172
1867,Imrul Kayes,32,70,16,37,4995,3423,32.03,37.37718619,9.756,153,59,115.96,71,318
1868,Alexander D Hales,30,85,14,50,3591,2527,37.8,45.03718619,5.14,92,75,127.66,31,146
1869,Robin A Smith,55,130,15,22,4388,3473,39.02,43.70718619,5.52,108,97,125.66,84,164
1870,Thomas William Maxwell Latham,26,82,14,33,3065,2880,33.73,38.37718619,,172,57,117.66,51,71
1871,Graeme M Wood,62,117,11,4,4409,3725,33.62,37.03718619,,182,44,115.66,51,271
1872,Shahriar Nafees,33,10,13,7,5815,3188,31.44,51.70718619,,129,103,137.66,65,72
1873,Denesh Ramdin,33,76,8,31,4360,2738,25,35.59718619,,153,83,113.16,64,289
1874,Craig Richard Ervine,33,108,12,28,4354,2943,31.09,38.26718619,,245,99,117.16,80,129
1875,Jonathan M Bairstow,29,64,8,46,5926,2017,46.04,49.03718619,9.756,247,65,133.66,34,167
1876,Gary Craig Wilson,33,139,12,22,5230,2739,24.07,62.70718619,,152,58,153.96,51,100
1877,Ashish Bagai,37,102,16,8,4767,2996,37.06,51.70718619,,280,124,137.66,108,199
1878,Peter Jeffrey Leroy Dujon,62,78,6,7,3977,2881,23.15,75.83718619,,189,71,161.16,64,244
1879,Ridley D Jacobs,51,21,9,27,3719,2661,23.31,75.83718619,,235,66,161.16,46,201
1880,Khaled Mashud,43,86,7,5,5569,3317,21.9,26.20718619,,144,29,95.06,40,298
1881,Shai Diego Hope,25,130,8,32,3891,2455,45.56,46.45718619,4.15,263,64,121.06,37,136
1882,Matthew Scott Wade,31,15,10,33,3795,2164,25.75,85.95718619,4.7,53,88,174.86,53,179
1883,Ian A Healy,54,130,4,5,3411,2104,21,38.33718619,5.14,215,87,111.16,53,107
1884,Krishnakumar Dinesh Karthik,33,130,9,15,3626,2358,31.04,47.33718619,5.52,260,85,123.16,81,115
1885,Rashid Latif,50,141,3,18,3476,2237,19.42,36.33718619,5.13,186,83,108.76,58,202
1886,Dihan Avishka Gunawardene,41,31,12,5,3745,2389,28.47,81.95718619,,77,49,169.66,44,87
1887,Bryan A Young,54,52,9,2,3626,2733,24.53,37.08718619,4.3352,198,76,109.76,45,253
1888,Dickwella Patabendige Dilantha Niroshan Dickwella,25,53,9,12,4453,1655,34.56,53.45718619,7.95,26,64,131.66,44,209
1889,Maurice A Ouma,39,41,7,5,4666,2528,20.85,31.95718619,8.95,239,81,102.86,59,58
1890,Hamish J H Marshall,40,26,12,8,5345,1990,27.43,51.95718619,5.8,134,91,129.66,63,154
1891,Nasir Jamshed,29,121,8,17,None,1881,31.51,55.70718619,7.012,210,53,134.66,68,215
1892,Luke Ronchi,37,25,4,43,5514,1220,23.68,29.20718619,9.35,288,115,99.06,83,327
1893,David O Obuya,39,27,6,12,4491,2135,19.36,58.95718619,7.98,255,86,138.86,66,224
1894,Peter G Fulton,40,29,8,20,3543,1833,32.54,60.70718619,5.68,136,64,141.06,53,68
1895,Simon M Katich,43,136,9,4,4912,1926,35.78,30.70718619,8.068,144,56,97.66,46,199
1896,Mohammad Raqibul Hasan,31,142,8,8,3253,2133,27.83,40.20718619,9.13,217,92,107.86,51,208
1897,Alex A Obanda,31,73,9,39,3990,1759,30.37,95.70718619,5.78,220,92,187.86,62,291
1898,Matthew S Sinclair,43,17,8,5,3046,2086,28.35,37.95718619,0.354,242,48,110.86,44,319
1899,Matthew J Prior,37,148,3,6,4466,1670,24.19,49.95718619,9.45,229,31,126.86,39,49
1900,Nayan R Mongia,49,44,2,8,4682,1846,20.19,114.2071862,1.035,140,31,212.66,38,315
1901,Rodney William Marsh,71,41,4,17,4381,1493,20.08,65.70718619,9.56,197,44,147.86,48,302
1902,Noor Ali Zadran,30,19,7,4,3372,1798,25.89,27.95718619,16.59,163,15,97.66,34,200
1903,Eric S Szwarczynski,36,47,10,6,3451,1615,29.78,40.33718619,,103,76,113.96,31,273
1904,Bastiaan Zuiderent,42,98,8,9,4619,1875,23.87,36.95718619,,277,143,109.66,97,374
1905,Imam-ul-Haq,23,29,5,10,4131,1333,60.56,56.45718619,,183,24,,27,281
1906,Ian D S Smith,62,47,3,10,3057,1061,17.3,76.33718619,,159,77,161.96,,237
1907,Craig Kieswetter,31,105,5,32,3006,1172,30.11,114.2071862,,270,50,212.66,,59
1908,Jamie M How,37,42,7,7,3567,1572,29.06,39.20718619,,252,70,112.66,45,329
1909,Anamul Haque,26,123,3,19,3807,1464,30.53,66.95718619,,203,49,149.66,34,237
1910,Henry M Nicholls,27,52,8,10,3175,1210,35.48,36.95718619,,218,72,109.66,61,201
1911,Don S B P Kuruppu,57,75,4,4,3508,1978,20.04,43.08718619,,218,62,117.76,25,198
1912,Evin Lewis,27,27,3,24,5192,1227,32.58,40.70718619,9.756,256,77,114.66,23,269
1913,Neil F I McCallum,41,17,4,17,4023,1452,27.83,40.45718619,9.756,185,128,114.06,105,242
1914,Matthew J Horne,49,52,5,5,3561,1515,20.42,48.83718619,9.756,93,97,125.16,99,266
1915,David F Watts,39,101,9,8,4144,1559,28.65,70.33718619,9.756,101,75,153.96,23,170
1916,Gregory Michael Ritchie,59,130,6,6,3813,1479,27.4,37.83718619,9.756,284,81,110.76,54,76
1917,Kieran Omar Akeem Powell,28,88,8,14,4453,1217,21.77,27.95718619,9.756,218,110,97.66,95,195
1918,Neil Trevor Broom,35,12,5,12,3233,1161,26.94,39.20718619,9.756,283,87,112.66,85,159
1919,Shimron Odilon Hetmeyer,22,78,2,36,3112,815,40.86,17.45718619,5.64,170,41,83.66,46,286
1920,Timothy David Paine,34,6,5,6,3580,1257,27.81,33.95718619,8.49,40,34,105.66,33,43
1921,David J Richardson,59,63,1,1,3312,1298,19.73,24.20718619,9.26,116,65,92.66,40,319
1922,Matthew Henry Cross,26,7,2,13,3822,1101,22.76,42.95718619,8.48,70,48,117.66,28,41
1923,Geraint O Jones,42,96,4,14,5016,1117,24.63,28.45718619,10.66,31,52,98.06,27,229
1924,Dennis L Amiss,75,37,1,1,3412,1185,47.72,40.70718619,8.19,34,78,114.66,54,321
1925,Wayne B Phillips,61,42,6,5,3896,994,24.34,29.13718619,9.79,67,52,94.66,54,59
1926,Charles K Coventry,35,111,3,29,3150,937,24.38,63.99718619,8.36,122,54,126.66,39,194
1927,Phillip Joel Hughes,27,31,4,4,3725,1100,35.91,58.13718619,6.78,272,68,128.16,74,277
1928,Andrew C Waller,59,112,4,11,3893,1172,23.37,41.70718619,9.34,142,41,109.06,45,273
1929,Sharjeel Khan,29,56,6,28,4226,705,32.48,29.27718619,8.16,138,83,94.76,63,226
1930,Saleem Yousuf,59,47,4,6,3157,1024,17.86,79.70718619,8.67,208,54,153.66,49,51
1931,John Dyson,64,122,4,2,2531,1622,32.83,109.7071862,10.565,107,22,188.66,22,254
1932,Graeme Fowler,61,88,4,1,2802,1321,31,61.27718619,5.14,238,51,131.96,64,87
1933,Pathiv A Patel,33,66,4,7,5106,942,23.74,59.41718619,5.52,262,80,129.86,65,100
1934,Christopher J Nevin,43,108,4,3,3979,1000,20.33,35.27718619,7.297,120,50,101.76,36,247
1935,Philo A Wallace,48,9,2,14,3686,1151,21.24,35.13718619,8.246,269,153,101.66,120,285
1936,Peter Joseph Moor,28,31,3,25,2428,1089,19.42,65.27718619,8.19,165,57,136.76,40,156
1937,Junior Randalph Murray,51,44,5,6,4792,929,22.6,64.13718619,9.065,170,41,126.96,38,40
1938,Callum J Ferguson,34,36,,,3175,,41.44,32.56718619,7.035,187,70,98.66,64,177
1939,Qasim Omar,62,42,,,2165,,22.93,57.41718619,10.64,49,23,127.66,33,54
1940,Usman T Khawaja,32,53,,,4370,,33.32,44.70718619,1.15,77,62,112.76,29,174
1941,John F Reid,63,95,4,2,3364,1084,27.52,64.84718619,5.14,152,31,136.06,28,223
1942,Sheik F A F Bacchus,65,29,3,1,3225,928,26.61,61.70718619,5.52,179,87,132.66,54,281
1943,Roland I C Holder,51,117,2,3,3223,876,23.96,17.41718619,8.49,233,79,80.86,44,316
1944,Robert T Robinson,60,1,3,0,2351,1026,22.96,61.41718619,4.79,271,52,132.06,50,270
1945,Bruce M Laird,68,112,2,0,3085,1131,29.7,39.41718619,5.16,52,69,106.66,55,74
1946,Bradley-John Watling,33,24,5,3,2427,838,24.91,78.84718619,9.46,142,50,152.66,34,74
1947,Kiran S More,56,104,0,4,3414,808,13.09,35.70718619,7.65,121,57,102.06,60,300
1948,Richmond Mutumbami,29,30,3,11,3012,777,20.44,49.70718619,2.6547,233,72,118.66,42,200
1949,Mohammad Wasim,41,40,3,1,2139,1043,23.61,40.27718619,5.67,55,21,107.66,23,37
1950,Muhammad Usman,33,5,2,8,2199,681,25.76,52.27718619,9.135,48,45,121.66,35,140
1951,Ian S Billcliff,46,110,4,7,,834,28,33.41718619,0.65,160,63,99.66,29,113
1952,Amjad Ali,39,131,3,2,3587,680,30.59,29.99718619,10.56,175,96,95.66,56,242
1953,Lee K Germon,50,1,3,1,3055,787,19.96,29.13718619,5.64,184,85,94.66,39,70
1954,Liton Das,24,49,1,6,2714,637,19.54,26.27718619,10.78,91,53,,64,254
1955,Michael R J Veletta,55,23,2,0,3578,642,32.27,55.70718619,8.46,107,70,125.66,43,316
1956,Carlton S Baugh,36,101,0,7,,719,20.08,85.99718619,9.45,49,21,158.66,40,257
1957,Ashif A Mulla,38,69,1,13,3560,603,20.08,35.99718619,1.97,208,68,102.66,45,270
1958,Dean A Minors,49,58,3,15,2626,789,26.56,33.41718619,5.13,253,20,99.66,29,67
1959,Mohammad Rizwan,26,86,3,5,3277,543,27.88,62.41718619,7.21,145,45,133.16,45,222
1960,Geoffrey E F  Barnett,35,136,1,5,3333,,,47.84718619,3.46,97,92,116.16,61,64
1961,Ruvindu Gunasekera,27,10,6,11,2840,,,124.2771862,7.95,136,34,205.66,19,109
1962,Regis W Chakabva,31,123,0,1,3974,813,15.13,48.84718619,6.49,117,47,117.66,43,209
1963,Tony E Blain,57,113,0,4,3201,662,16.37,53.13718619,8.1,149,73,122.66,44,328
1964,Sampathawudage A R Silva,58,52,3,0,3205,838,22.05,30.70718619,7.26,226,91,96.16,60,255
1965,Manish Krishnanand Pandey,29,109,2,4,4103,479,36.67,50.41718619,9.16,98,28,119.16,31,58
1966,James P Maher,45,149,1,7,3848,673,25.76,52.27718619,8.13,141,57,121.66,22,169
1967,Dipak N Chudasama,55,32,1,0,3049,685,22.84,33.27718619,8.63,193,25,99.16,30,131
1968,Colin J O Smith,46,101,2,3,2389,640,19.64,51.41718619,,141,36,120.66,,306
1969,Shafiqullah,29,148,2,24,2976,408,22.63,32.70718619,None,239,30,98.76,37,223
1970,Morne N van Wyk,39,60,4,4,2891,617,26.56,44.84718619,None,201,39,112.86,51,187
1971,Ghulam Shabber,29,55,3,3,2152,671,22.32,26.56718619,None,38,63,91.66,22,140
1972,Robert Charles Russell,55,87,1,1,3792,638,17.63,42.03718619,None,160,80,102.86,60,286
1973,Courtney O Browne,48,30,0,5,2967,590,17.29,16.37718619,None,178,57,77.06,47,322
1974,Forster Mutizwa,33,26,4,7,3886,502,31,31.70718619,None,119,43,92.66,32,114
1975,Jeremy P Bray,45,12,0,6,3388,594,28.64,21.03718619,None,62,66,81.86,45,219
1976,Ronald G De Alwis,12,133,2,7,2983,512,21.11,32.20718619,None,105,75,92.96,69,182
1977,Desmond R Chumney,51,105,0,9,2734,595,20.89,23.70718619,None,243,51,84.66,34,260
1978,Irfan A Karim,26,139,1,0,3069,522,44,50.70718619,None,1,92,111.66,44,114
1979,Adrian B Barath,28,72,1,3,3032,612,30.31,51.87718619,5.14,165,92,112.76,65,197
1980,Mohammad Mithun Ali,29,147,4,9,3594,509,34.64,85.20718619,5.52,106,52,145.96,17,158
1981,Henry G Munsey,26,149,1,7,3189,529,29.31,46.70718619,,262,80,107.66,56,224
1982,Dirk M Wellham,59,97,1,0,3471,699,25.27,71.70718619,,269,44,132.66,42,265
1983,Al Sahariar Rokon,40,48,2,1,3407,709,13.36,55.70718619,,211,87,116.66,50,314
1984,Syed M H Kirmani,69,107,0,0,2951,616,20.72,55.03718619,,56,29,115.86,21,138
1985,Peter J Forrest,33,27,3,4,2226,561,26.29,71.70718619,,1,50,132.66,56,189
1986,Warrick M Darling,61,106,1,0,2944,679,21.35,81.70718619,,186,62,142.66,58,165
1987,Saba Karim,51,80,1,2,2735,560,15.74,53.53718619,,215,56,114.16,30,240
1988,Shahriar Hossain,42,18,2,0,3230,682,19.05,69.37718619,7.03,147,90,130.06,33,237
1989,Dean Graham Brownlie,34,60,1,1,2293,486,25.79,69.53718619,9.16,237,46,130.16,13,78
1990,Zahid Fazal,45,47,2,3,2389,589,23.2,45.20718619,8.164,141,31,105.96,29,97
1991,Kirk A Edwards,34,138,0,7,3290,494,23.64,69.87718619,9.16,10,77,130.76,62,323
1992,Adnan Mufti,34,146,,,2398,,,34.70718619,5.06,124,72,95.66,22,153
1993,Craig D Wallace,28,33,3,8,2718,347,18.22,56.70718619,4.16,151,19,117.66,19,96
1994,Klass-Jan J van Noortwijk,48,20,1,6,3598,428,46,67.70718619,2.354,89,56,128.66,51,114
1995,Richard B McCosker,72,122,2,0,2008,653,22.86,46.87718619,9.16,153,22,107.76,19,281
1996,Peter Stephen Patrick Handscomb,27,129,3,3,2650,325,29,24.53718619,5.064,7,28,85.16,34,218
1997,Kannaur Lokesh Rahul,26,83,2,5,3686,393,35.22,65.87718619,9.71,228,58,126.76,34,93
1998,Vani V Morea,35,25,3,4,2122,460,26.08,84.70718619,6.495,246,52,145.66,26,80
1999,Blair R Hartland,52,40,2,0,2770,623,20.73,26.70718619,3.87,194,70,87.66,40,215
2000,Nafis Iqbal,33,18,2,2,2414,567,19.31,40.70718619,,90,61,101.66,77,90
2001,Ihsanullah Janat,21,148,3,6,2346,440,21.93,52.20718619,,219,29,112.96,32,305
2002,Lungile L  Bosman,41,131,2,9,2785,305,25.08,80.87718619,,210,85,141.76,65,67
2003,Christopher Mark Wells Read,40,104,0,6,3369,410,17.65,32.87718619,,93,95,,72,96
2004,Gary S Ballance,29,77,2,1,2796,443,21.21,21.70718619,,232,60,,43,44
2005,Paul A Nixon,48,54,0,7,2135,347,21.21,37.53718619,,235,69,,47,72
2006,Zahoor Elahi,48,140,3,6,,507,22.85,42.70718619,,145,55,103.66,19,172
2007,Deryck Lance Murray,75,43,2,2,2784,463,24.58,52.70718619,,60,44,113.66,22,78
2008,Andrew J Pycroft,62,139,2,1,2449,560,17.35,48.37718619,,44,45,109.06,24,212
2009,Stephanus J Myburgh,35,79,2,8,2733,339,24.5,56.70718619,,144,63,117.66,65,180
2010,Chandrakant S Pandit,57,9,0,0,3789,400,20.71,21.70718619,,128,30,82.66,26,178
2011,Llorne G Howell,46,9,4,4,1604,388,23.92,35.70718619,,157,60,96.66,29,147
2012,Alex Tyson Carey,27,140,0,2,2799,359,31.33,66.70718619,,101,48,127.66,16,168
2013,Aldesh V Vadher,44,14,2,1,2580,512,27.8,49.70718619,,118,59,110.66,57,145
2014,Samuel William Billings,27,41,2,2,2238,298,22.58,35.70718619,,155,64,96.66,42,95
2015,Jahurul Islam,32,143,1,2,2336,371,22.5,31.70718619,,55,41,92.66,28,90
2016,Joseph L Denly,32,116,2,1,2829,409,29.78,36.03718619,,108,101,96.86,60,229
2017,Afsar Zazai,25,54,2,0,2799,488,17.6,50.70718619,,8,62,111.66,46,89
