ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets,Ratings
62,Mushtaq Ahmed,48,146,0,1,7693,697,9.5,46.85,4.26,323,226,1300,485,72,256
63,Richard John Hadlee,67,16,4,25,6302,2319,21.62,39.13,3.31,536,603,1132,1936,309,422
64,Manoj M Prabhakar,55,140,11,0,6162,3083,24.13,40.51,4.28,313,1092,905,2073,152,350
65,Malcolm D Marshall,5,15,,14,7219,1246,14.92,45.7,3.54,690,55,1358,1069,160,351
66,Ashish Nehra,39,144,0,3,5767,246,5.64,36.63,5.2,339,748,1095,521,232,248
67,Shoaib Malik,37,117,43,111,8096,9031,35.14,50.8,4.67,134,983,1423,7373,344,515
68,George B Hogg,48,128,2,5,5425,1004,20.26,35.67,4.52,276,0,0,668,46,320
69,Sachin R Tendulkar,45,85,96,195,7888,21367,44.83,52.3,5.1,546,713,1085,18194,288,844
70,Mohammad Imran Tahir,39,37,0,1,5109,206,8.06,31.9,4.68,687,434,1184,89,453,262
71,Balapuwaduge Ajantha Winslow Mendis,33,46,0,2,4102,263,8.17,27.33,4.8,225,842,427,176,361,268
72,Umagiliya D U Chandana,46,136,5,22,6267,2229,17.31,40.68,4.71,475,461,905,1713,436,303
73,Ravichandran Ashwin,32,64,1,6,6136,776,16.07,40.14,4.92,191,113,989,756,241,310
74,Shane E Bond,43,59,0,9,4260,384,16.22,29.22,4.29,11,1329,564,200,179,323
75,Trent Alexander Boult,29,82,0,6,4519,190,9.6,29.18,5.08,172,109,498,72,410,284
76,Joel Garner,66,121,0,4,5380,359,9.15,36.51,3.1,180,24,789,199,61,317
77,Thomas M Odoyo,40,52,8,57,5692,3432,23.5,38.96,4.6,538,1443,878,2505,346,362
78,Ian Terence Botham,63,71,9,45,6134,2666,23.22,43.25,3.96,148,690,776,1979,73,384
79,Mitchell Aaron Starc,29,39,1,7,3574,313,12.73,25.94,4.96,157,519,520,103,404,306
80,Jason N Gillespie,43,52,0,6,5442,368,12.57,36.23,4.21,137,436,633,210,49,304
81,Michael A Holding,65,147,2,5,5772,377,9.1,0,0,794,1213,1151,166,419,301
82,Ewen J Chatfield,68,56,0,0,6071,346,10.73,43.32,3.58,119,121,903,282,30,264
83,Handunnettige Deepthi Priyantha Kumar Dharmasena,47,108,4,2,7177,1877,22.63,50.79,4.28,381,1215,1395,1222,0,289
84,Mohammad Hafeez,38,99,36,102,7842,8290,32.99,54.52,4.13,125,1145,1391,6418,44,470
85,Scott B Styris,43,29,28,68,6129,5647,32.49,44.63,4.75,493,718,1390,4528,239,423
86,Mohamed Farveez Maharoof,34,127,2,25,4698,1294,19.53,34.37,4.9,307,2140,0,1084,7,327
87,Damien W Fleming,48,113,0,1,4517,221,11.69,34.47,4.42,446,411,0,320,89,267
88,Andrew Symonds,43,45,30,103,6003,5504,39.75,44.62,5.01,408,1224,0,5364,66,470
89,Prosper Utseya,33,117,4,17,8513,2411,16.74,64.44,4.37,305,1170,0,1608,105,269
90,Abdul Qadir,63,45,0,17,5138,849,15.26,38.64,4.06,178,320,0,457,148,288
91,Merwyn V Dillon,44,19,0,3,5601,411,7.32,42.15,0,115,169,0,444,508,233
92,Ravishankar J Shastri,56,34,18,25,6696,5129,29.05,51.26,4.22,305,2985,866,2978,359,351
93,Adil Usman Rashid,31,92,1,6,4402,526,19.59,31.95,5.58,568,2219,773,583,0,308
94,Jerome E Taylor,34,65,0,5,4410,323,8.42,33.91,5.22,9,566,584,433,257,268
95,Daniel Kyle Morrison,53,54,0,2,4311,400,9,36.4,4.54,60,582,511,263,210,205
96,Mohammad Rafique,48,131,2,29,6586,1666,13.38,51.31,4.43,299,618,1198,1249,157,278
97,Azhar Mahmood,44,50,3,24,5894,1988,18.11,50.75,4.63,750,372,1013,1463,598,298
98,Rubel Hossain,29,105,0,1,4442,226,4.73,35.1,5.61,1186,3252,888,148,142,195
99,Mohammad Sami,38,125,0,10,4092,490,11.63,35.4,5,299,926,366,209,99,240
100,Jason Omar Holder,27,89,7,46,4373,1574,26.27,35.8,5.54,579,1282,794,1557,398,346
101,Alexander Graeme Cremer,32,120,1,5,4739,1196,14.59,39.33,4.61,55,1052,317,581,158,240
102,Rashid Khan,20,136,3,19,2835,0,0,0,0,0,0,0,0,163,332
103,Isaac Vivian Alexander Richards,66,55,45,126,5453,0,0,0,0,0,0,0,0,373,519
104,Ian R Bishop,51,88,0,5,4342,0,0,0,0,0,0,0,0,227,241
105,Christopher Roger Woakes,30,108,4,16,3998,1149,26.64,33.54,5.61,391,1111,839,860,251,326
106,Ravindranath Rampaul,34,116,1,13,4203,472,12.48,34.47,5.11,617,143,860,496,122,256
107,Liam Edward Plunkett,33,128,1,17,3794,588,19.47,31.27,5.88,17,786,765,723,104,303
108,Mohammad Nabi,34,91,12,82,5314,2783,28.93,44.5,4.26,308,1106,870,2441,560,357
109,Phillip A J De Freitas,53,113,1,10,5856,823,16.05,49.67,3.97,320,638,1149,663,211,316
110,Ishant Sharma,30,76,0,0,3844,203,4.8,32.46,5.73,328,489,499,119,401,162
111,Wessel J Cronje,1,110,39,94,5411,7276,38.65,46.99,4.44,173,1074,598,5333,248,432
112,Angelo Davis Mathews,31,66,37,82,4940,6451,42.36,44.48,4.62,113,1721,847,5508,215,461
113,Martin C Snedden,60,140,1,1,4751,843,15.29,39.69,4.29,51,0,1089,635,328,260
114,Bhuvneshwar Kumar,29,98,1,6,5165,641,14.88,43.2,4.99,187,904,1002,182,90,269
115,Kemar A J Roach,30,103,0,5,3762,513,13.8,34.8,5.01,386,754,865,430,17,226
116,Gavin Rolf Larsen,56,53,0,9,6461,970,14.63,56.35,3.77,185,217,1062,872,163,261
117,Kevin Joseph O'Brien,34,77,16,75,4213,3562,30.89,36.51,5.25,209,1151,602,3405,230,379
118,Yuvraj Singh,37,89,52,155,5290,9923,36.56,45.48,5.1,89,1165,736,8519,260,526
119,Paul D Collingwood,42,96,26,74,5171,6614,35.36,46.72,4.97,1061,745,888,5357,22,398
120,Mudassar Nazar,62,84,16,2,4525,5130,25.27,43.74,4.24,117,995,708,2618,124,291
121,Naved-ul-Hasan,41,41,0,16,3309,620,15.88,31.51,5.58,373,705,426,743,192,270
122,Daryl R Tuffey,40,109,0,7,4557,372,9.52,39.39,4.89,712,602,547,219,57,261
123,Mohammed Shami Ahmed,28,123,0,6,3011,137,9.08,27.79,5.46,320,688,577,32,93,256
124,Timothy T Bresnan,34,123,1,6,4038,965,19.8,38.72,5.42,325,282,760,782,158,294
125,Gallage Pramodya Wickramasinghe,47,145,0,2,5671,543,8.6,52.48,4.53,447,709,937,564,459,214
126,Simon P O'Donnell,56,39,9,28,4370,1534,25.35,40.28,4.28,66,809,1049,1177,202,315
127,Demuni Nuwan Tharanga Zoysa,40,128,0,7,4295,358,13.19,39.44,4.53,107,3,902,399,54,292
128,Tillakaratne Mudiyanselage Dilshan,42,123,47,55,5796,11934,39.27,55.47,4.88,256,0,0,0,0,552
129,Pinnaduwage A de Silva,53,57,64,103,5368,11443,34.9,48.57,4.87,158,2001,786,9397,143,520
130,Paul R Reiffel,52,66,1,1,4682,709,13.97,44.64,3.93,405,364,808,425,74,266
131,Andre Nel,41,135,0,3,3900,166,12.7,35.86,4.63,1145,553,555,32,323,255
132,Umeshkumar Tilak Yadav,31,141,0,1,3772,134,7.9,33.57,6.01,82,1385,622,2,326,195
133,Grant W Flower,48,155,40,37,5494,9723,33.53,52.52,4.64,215,1430,0,6807,381,402
134,Graeme P Swann,39,81,0,4,3663,553,13.89,36.63,4.55,130,2248,756,520,28,265
135,Ranasinghe Arachchige Suranga Lakmal,31,42,0,2,3829,367,8.2,35.44,5.41,224,983,542,252,184,198
136,Junaid Khan,29,144,0,1,3194,119,4.85,31.97,5.23,142,485,476,142,150,183
137,Dennis K Lillee,69,25,0,1,3592,320,9.23,34.88,3.58,489,336,679,127,163,257
138,Christopher Pringle,51,59,0,5,3373,256,8.77,32.17,4.45,453,213,734,48,198,233
139,Wahab Riaz,33,133,2,21,3680,715,13.7,36.23,5.69,278,836,371,740,41,251
140,Steven Thomas Finn,29,137,0,3,3764,223,8,0,5.06,81,680,730,83,283,205
141,Elton Chigumbura,32,66,19,106,4194,5424,25.23,42.96,5.91,279,939,535,4384,70,355
142,Sourav C Ganguly,46,36,72,190,4734,15416,41.02,45.61,5.06,222,3268,658,11348,85,590
143,Roger A Harper,55,42,0,18,5201,1162,16.13,51.75,3.98,210,151,433,847,0,250
144,Dawlat Zadran,30,62,0,21,3164,624,20.83,33.28,5.32,106,19,444,223,38,275
145,Raymond William Price,42,7,0,5,5415,701,9.67,53.74,3.99,47,87,849,344,68,216
146,Winston K M Benjamin,54,21,0,6,4642,406,7.45,44.42,4.16,332,346,676,562,39,230
147,Charl K Langeveldt,44,30,0,,3493,124,6.64,34.89,5.09,31,751,559,19,551,189
148,Nathan J Astle,47,142,41,86,4653,9760,34.93,48.99,4.71,409,1077,919,7230,172,458
149,Kagiso Rabada,23,119,0,4,3112,257,15.23,32.34,5,527,1548,429,251,464,245
150,Peter L Taylor,62,74,1,0,3975,583,19.86,40.59,4.18,111,730,745,421,210,252
151,Clinton J McKay,36,26,0,2,3201,337,9.05,30.57,4.78,47,1660,336,499,214,200
152,Virender Sehwag,40,101,38,136,4239,7930,35.06,45.75,5.26,237,878,868,8361,122,513
153,Nico Boje,45,2,4,13,4494,1594,26.68,47.3,4.51,383,162,773,1273,91,301
154,Paul A Strang,48,133,0,6,4544,1651,22.24,45.32,4.38,269,302,936,911,297,250
155,James Peter Faulkner,28,124,4,29,3267,991,34.4,33.45,5.53,508,368,640,1125,53,342
156,Andrew J Hall,43,141,3,10,3155,1216,21.05,35.17,4.52,445,2070,173,989,661,263
157,Petrus Stephanus De Villiers,54,15,0,2,4404,218,8.1,46.55,3.58,158,1036,651,26,164,247
158,Stephen O Tikolo,47,93,24,33,3952,4527,29.05,42.72,4.8,70,255,464,3159,112,342
159,Wayne Dillon Parnell,29,29,1,8,2842,648,21.17,30.97,5.64,192,1869,536,607,291,258
160,Lonwabo L Tsotsobe,34,85,0,1,2735,0,7,31.53,4.75,128,495,642,174,392,110
161,Sunil Philip Narine,30,109,0,12,3720,441,11,38.48,4.13,10,0,831,451,40,238
162,Anderson Cleophas Cummins,52,47,0,5,3756,586,13.5,41.4,4.58,695,1839,681,546,120,240
163,Balfour P Patterson,57,43,0,1,3270,101,8.8,33.89,4.34,274,587,503,207,69,168
164,Saleem Malik,55,138,47,34,3367,9383,32.89,39.31,5.07,419,736,695,7087,375,425
165,Marlon Nathaniel Samuels,38,130,30,118,5111,7463,32.98,57.2,0,198,1296,904,5610,75,396
166,Bernard L Cairns,69,124,2,41,3770,941,16.73,45.11,4.06,392,477,614,1046,237,319
167,Terence Michael Alderman,62,51,0,0,3772,97,2.67,37.88,3.66,153,2505,551,285,128,154
168,Guy J Whittall,46,51,11,26,4104,4011,22.54,46.14,5.14,310,674,734,2693,207,271
169,Christopher Bobby Mpofu,33,39,0,0,3803,197,2.3,42.81,5.43,253,457,372,115,359,114
170,Geoffrey Francis Lawson,61,64,0,4,4011,500,11.12,48.95,3.65,122,1660,772,0,152,251
171,Anderson M E Roberts,68,25,0,3,3210,357,0,35.9,3.4,316,96,751,59,342,227
172,William Boyd Rankin,34,6,0,1,3052,163,6.27,34.98,4.72,186,2017,448,7,158,158
173,Joseph Ravindran Ratnayeke,58,120,1,2,3488,1571,14.98,41.55,4.81,216,324,270,858,14,195
174,Munaf M Patel,35,121,0,2,3439,114,6.73,36.67,4.95,526,1363,659,283,503,192
175,Mark Edward Waugh,53,86,50,57,3791,11053,39.35,43.38,4.78,242,274,406,8543,0,489
176,Aamir Sohail,52,94,31,20,4944,7305,31.87,56.89,4.59,370,645,759,4666,0,341
177,Ian J Harvey,46,5,0,8,3502,811,17.88,0,4.72,430,53,687,842,0,260
178,George Henry Dockrell,26,118,1,7,3584,659,16.89,45.54,4.63,796,211,721,522,75,224
179,Tendai Larry Chatara,28,72,0,2,2744,327,6.63,35.73,5.21,162,1125,841,400,410,168
180,Rodney M Hogg,0,66,0,0,3473,217,9.13,43.26,3.95,10,129,533,203,42,203
181,Philip V Simmons,55,10,18,44,3732,5407,28.94,46.75,4.45,156,3519,844,3745,249,329
182,Corey D Collymore,41,65,0,2,3953,261,5.78,49.08,4.31,385,110,714,4,82,144
183,Mohammad Irfan,36,6,0,0,3236,149,4,37.46,4.92,521,131,630,4,60,126
184,Mitchell J McClenaghan,32,29,0,3,2352,138,27,28.49,5.94,181,872,76,110,160,251
185,Carl Grau Rackemann,58,64,0,0,2596,77,2.83,34.04,3.94,128,383,0,245,36,155
186,Darren J G Sammy,35,105,9,84,4631,1870,24.95,61.19,4.66,465,449,828,1759,34,316
187,James E C Franklin,38,53,4,17,3723,1653,23.98,47.51,5.23,0,747,590,1630,25,264
188,Robert George Dylan Willis,69,134,0,0,0,157,10.38,44.94,3.28,221,92,503,185,330,206
189,Jasprit J Bumrah,25,84,0,0,2225,34,2.75,28.4,4.49,499,643,268,34,475,122
190,Arjuna Ranatunga,55,4,49,64,4677,9571,35.85,59.62,4.79,28,443,712,7163,64,423
191,Craig R Matthews,54,62,0,2,3066,202,10.85,38.01,3.95,750,646,813,123,159,213
192,Kuldeep Yadav,24,100,0,0,2322,139,15.6,26.05,4.77,22,1414,17,65,79,186
193,Moeen Munir Ali,31,99,5,52,4227,1589,26.11,54.05,5.22,197,192,361,1925,144,306
194,Andrew John Bichel,48,46,1,10,3218,600,20.48,41.76,4.54,326,2128,596,329,224,240
195,Peter J Ongondo,42,122,0,10,3108,619,8.84,39.77,4.55,88,0,597,591,398,200
196,Ian D R Bradshaw,44,39,0,4,3024,480,12.48,40.67,4.35,409,0,692,190,248,193
197,Matthew J Henry,27,2,0,9,0,0,0,0,5.52,423,665,288,300,30,277
198,Roger M H Binny,63,109,1,1,2894,1046,16.13,38.4,4.59,545,169,521,738,96,209
199,Ryan  McLaren,36,113,1,6,2413,680,18.65,31.21,5.25,362,737,221,0,11,222
200,Praveenkumar Sakat Singh,32,66,1,7,3389,331,13.9,42.1,5.13,66,2823,515,631,21,244
201,Iftikhar Anjum,38,32,0,3,3176,378,15.6,38.44,4.93,176,672,503,148,26,206
202,Hasan Ali,25,108,2,10,2203,198,12.69,27.44,5.26,323,1181,775,31,205,255
203,Mustafizur Rahman,23,42,0,0,2046,113,9.5,27.49,4.73,0,2464,89,65,135,164
204,Mohammad Mahmudullah,33,100,20,48,4012,4857,33.39,53.5,5.17,284,771,468,3411,104,325
205,John E Emburey,66,123,0,6,3280,664,14.31,45.07,4.11,130,245,333,526,200,222
206,Stephen J Harmison,40,37,0,0,2849,141,8.27,38.14,5.13,529,1312,0,115,373,181
207,Reon D King,43,78,0,0,2805,204,7.22,34.25,4.17,16,542,379,66,6,136
208,Rumesh Joseph Ratnayake,55,42,0,18,3704,705,16.54,47.67,4.55,290,1250,665,712,56,243
209,Robin J Peterson,39,18,1,5,3128,688,20.59,43.71,4.91,54,1221,424,307,193,233
210,Gary B Brent,43,57,1,5,3255,697,12,45.2,4.91,357,58,489,274,563,188
211,Shanthakumaran Sreesanth,36,38,0,0,2263,121,4,33.01,6.08,518,1069,432,40,0,119
212,Herath Mudiyanselage Rangana Keerthi Bandara Herath,40,82,0,2,0,217,9.33,0,4.37,675,1081,506,263,118,173
213,William Watson,53,132,0,3,3135,180,7.82,0,4.15,225,1801,539,214,177,158
214,Allan R Border,63,30,39,43,2573,9134,30.63,36.21,4.66,186,649,218,6672,394,380
215,Ruwan S Kalpage,49,69,1,4,3999,1320,20.59,54.25,4.51,27,204,922,996,334,206
216,Sharma Madan Lal,67,27,1,3,3169,645,19.1,43.34,,84,470,710,506,222,214
217,Gregory S Chappell,70,143,14,7,3114,3113,40.19,43.17,4.05,266,905,536,2417,312,332
218,Patrick Leonard Symcox,58,105,3,22,4259,830,16.93,55.43,4.15,918,260,672,890,262,230
219,Johan Botha,36,95,0,3,3834,710,19.03,53.1,4.58,271,992,639,639,105,227
220,Sohail Tanvir,34,102,1,6,2731,458,13.76,40.96,5.22,46,1645,166,571,19,228
221,Josh Reginald Hazlewood,28,136,0,0,2345,56,18.5,31.86,4.74,203,1648,298,305,0,207
222,Nehemiah N Odhiambo,35,114,1,12,2704,777,12.75,40.14,5.51,179,582,737,254,326,206
223,Daren B Powell,40,102,0,0,0,0,5.36,40.14,4.71,74,737,658,295,439,183
224,Yuzvendra S Chahal,28,130,0,0,0,0,11.33,29.76,4.8,131,368,267,72,229,158
225,Brian M McMillan,55,34,0,7,3538,1149,23.36,51.76,4.29,225,1567,659,1055,126,235
226,Eddo A Brandes,55,6,2,14,2980,447,13.03,40.4,4.81,203,1298,566,424,40,241
227,Rabindra Ramanarayan Singh,55,59,9,41,3441,3144,25.96,54.12,4.8,278,1379,326,2412,346,271
228,Sunil B Joshi,49,47,1,17,3714,653,17.18,49.07,4.45,109,278,405,996,19,242
229,Andrew R Caddick,50,85,0,3,2517,396,12.45,42.57,4.01,262,914,415,339,515,205
230,Rudra Pratap Singh,33,22,0,1,2508,242,10.4,37.17,5.48,359,14,373,237,109,148
231,Hiren A Varaiya,34,72,0,1,2825,492,12.1,43.4,4.16,43,288,0,11,406,170
232,Champaka P H Ramanayake,54,103,0,1,2729,374,10,42.12,4.29,119,35,536,74,47,173
233,Jean-Paul Duminy,34,23,27,72,3161,5959,37.16,51,5.35,350,74,822,4993,326,369
234,James R Hopes,40,4,3,6,3276,1415,25.02,47.12,4.53,949,62,256,1200,85,279
235,Khaled Mahmud,47,17,1,7,3215,1461,14.36,50.52,5.08,194,302,723,818,38,201
236,Mark A Ealham,49,12,0,13,3275,1092,17.46,48.16,4.08,205,1702,129,688,427,203
237,Chetan Sharma,53,125,0,4,2821,504,24,42.31,4.94,196,589,229,454,450,254
238,Michael S Kasprowicz,47,15,0,1,2337,89,18.5,33.21,4.51,354,563,487,194,336,231
239,David Trent Johnston,44,116,0,23,3047,785,19.55,44.39,4.33,293,181,322,763,294,266
240,Clairmonte C Lewis,51,137,0,6,2724,464,14.38,39.77,4.44,261,693,538,260,303,218
241,Maninder Singh,53,136,0,0,3121,90,12.25,47.47,3.96,576,735,282,105,196,162
242,Andre Dwayne Russell,30,143,4,54,2181,765,28.51,33.48,5.87,497,975,695,1180,346,342
243,Craig White,49,36,1,4,2285,928,15.78,36.37,4.38,0,0,0,587,42,193
244,Tinashe Panyangara,33,67,0,4,3390,463,6.64,49.88,5.6,0,0,0,45,198,149
245,Patrick J Cummins,25,16,0,3,1989,246,11.86,34.52,5.29,608,226,156,403,135,183
246,Mitchell Josef Santner,27,22,2,24,2635,922,27.53,41.83,4.9,217,943,264,684,105,259
247,Dion J Nash,47,40,0,5,3440,940,15.6,53.38,4.61,339,404,650,747,80,195
248,Amit Mishra,36,32,0,0,2063,81,5.38,29.95,4.73,225,860,546,82,359,144
249,Benjamin Andrew Stokes,27,135,14,59,2532,2225,36.63,39.76,6.14,62,1147,234,2206,15,327
250,Nathan L McCullum,38,79,4,33,3686,1220,20.98,56.13,5.02,297,1555,625,885,77,234
251,Alex R Cusack,38,95,2,6,1829,1159,22.58,31,4.64,494,2495,297,814,146,220
252,Nathan M Hauritz,37,108,1,8,2548,349,22.4,43.24,4.74,371,1499,625,327,127,248
253,Sarfraz Nawaz,70,146,0,1,2239,345,9.61,38.29,3.64,363,141,708,432,78,187
254,Shafiul Islam,29,105,0,2,2344,221,6.3,37.17,5.88,271,309,113,209,153,151
255,Alan D Mullally,49,142,0,1,2555,237,5.73,42.84,3.84,217,823,606,263,291,127
256,Bruce A Reid,55,92,0,0,0,0,0,0,0,0,0,0,191,189,127
257,Sagi Lakshmi Venkatapathy Raju,49,12,0,0,2566,67,4,43.97,4.36,379,393,630,290,387,120
258,Douglas E Bollinger,37,139,0,0,2235,54,8.33,31.32,4.58,22,1402,184,280,68,217
259,Shaun W Tait,36,106,0,1,1609,29,12.5,27.23,5.19,225,1232,168,89,434,210
260,Dwayne R Smith,35,43,8,64,2714,1683,18.57,44.69,5.03,788,234,485,1616,467,263
261,Douglas T Hondo,39,24,0,0,2360,249,7.47,39.03,5.47,437,0,229,4,108,140
262,Syed Rasel,34,13,0,0,2713,185,4.76,43.56,4.63,75,248,833,77,330,130
263,Sean C Williams,32,127,29,34,3795,4179,33.28,61.2,4.92,18,1554,604,3458,39,320
264,Corey J Anderson,28,79,4,55,1451,1020,27.73,24.75,6.07,0,0,0,0,0,310
265,Rana M Haq,35,74,3,2,2670,931,16.65,43.88,4.5,717,425,296,700,42,181
266,Mohammad Amir,26,49,2,8,0,430,19.56,40.02,4.74,40,226,82,243,138,228
267,James Cullum Tredwell,37,84,0,4,2398,242,11.64,35.07,4.75,19,884,116,286,nan,178
268,Fidel H Edwards,37,119,0,0,1927,160,9.13,35.63,5.09,490,78,285,78,60,138
269,Ashantha L F De Mel,59,112,0,3,2741,595,14.56,46.36,4.91,336,248,318,654,94,215
270,Tapash Baisya,36,112,0,4,2569,571,12,44.2,5.64,396,567,726,253,184,161
